[2018-09-11 14:54:26.285] 603,ax,ay,az,gx,gy,gz,mx,my,mz,q0,q1,q2,q3,yaw,pitch,roll
[2018-09-11 14:54:36.458] ,-1.46,-18.19,882.93,-0.96,-1.31,0.46,-1380.95,161.8,-160.56,0.75,-0.01,0.01,-0.66,-96.74,-0.1,-1.46
[2018-09-11 14:54:37.006] ,-10.01,-22.22,888.67,-1.1,-1.27,0.58,-1387.52,173.48,-156.91,0.75,-0.01,0.01,-0.66,-96.75,-0.08,-1.53
[2018-09-11 14:54:37.552] ,-3.3,-21.48,887.08,-1.14,-1.26,0.58,-1380.22,173.48,-155.45,0.75,-0.01,0.01,-0.66,-96.76,-0.08,-1.5
[2018-09-11 14:54:38.101] ,2.08,-15.01,887.45,-1.13,-1.37,0.66,-1376.57,180.78,-165.67,0.75,-0.01,0.01,-0.66,-96.76,-0.08,-1.49
[2018-09-11 14:54:38.646] ,4.15,-14.4,891.36,-1.25,-1.39,0.48,-1383.14,163.99,-167.86,0.75,-0.01,0.01,-0.66,-96.74,-0.25,-1.46
[2018-09-11 14:54:39.191] ,-3.66,-21.36,884.89,-1.03,-1.39,0.51,-1386.79,166.91,-167.86,0.75,-0.01,0.01,-0.66,-96.73,-0.08,-1.48
[2018-09-11 14:54:39.731] ,-8.42,-22.83,890.87,-1.05,-1.3,0.54,-1372.92,169.83,-159.1,0.75,-0.01,0.01,-0.66,-96.72,0,-1.48
[2018-09-11 14:54:40.276] ,8.67,-23.19,885.5,-1.17,-1.11,0.56,-1379.49,171.29,-141.58,0.75,-0.01,0.01,-0.66,-96.69,-0.14,-1.48
[2018-09-11 14:54:40.817] ,7.32,-19.29,882.93,-1.08,-1.55,0.57,-1386.06,172.75,-183.19,0.75,-0.01,0.01,-0.66,-96.69,-0.11,-1.54
[2018-09-11 14:54:41.357] ,5.98,-16.48,880.13,-1.14,-1.38,0.54,-1395.55,169.83,-167.13,0.75,-0.01,0.01,-0.66,-96.68,-0.04,-1.47
[2018-09-11 14:54:41.906] ,10.13,-10.99,891.97,-1.2,-1.34,0.42,-1384.6,158.15,-162.75,0.75,-0.01,0.01,-0.66,-96.71,-0.2,-1.49
[2018-09-11 14:54:42.450] ,-9.77,-27.83,890.01,-1.16,-1.24,0.62,-1379.49,177.13,-153.99,0.75,-0.01,0.01,-0.66,-96.68,0.07,-1.6
[2018-09-11 14:54:42.995] ,-3.91,-24.78,892.33,-1.08,-1.34,0.65,-1392.63,180.05,-163.48,0.75,-0.01,0.01,-0.66,-96.7,-0.06,-1.51
[2018-09-11 14:54:43.536] ,10.25,-19.04,888.31,-1.03,-1.34,0.55,-1388.25,170.56,-163.48,0.75,-0.01,0.01,-0.66,-96.76,-0.17,-1.47
[2018-09-11 14:54:44.076] ,-10.01,-22.09,891.24,-1.08,-1.29,0.5,-1378.76,165.45,-158.37,0.75,-0.01,0.01,-0.66,-96.7,-0.02,-1.53
[2018-09-11 14:54:44.625] ,-2.32,-25.63,887.7,-1.16,-1.45,0.6,-1381.68,175.67,-173.7,0.75,-0.01,0.01,-0.66,-96.73,-0.1,-1.55
[2018-09-11 14:54:45.175] ,1.22,-18.31,884.03,-1.15,-1.32,0.57,-1377.3,172.75,-161.29,0.75,-0.01,0.01,-0.66,-96.76,-0.03,-1.48
[2018-09-11 14:54:45.719] ,0,-21,896.12,-1.11,-1.21,0.59,-1376.57,174.21,-150.34,0.75,-0.01,0.01,-0.66,-96.69,-0.08,-1.52
[2018-09-11 14:54:46.260] ,-6.1,-19.04,893.8,-1.06,-1.41,0.5,-1374.38,165.45,-170.05,0.75,-0.01,0.01,-0.66,-96.71,-0.04,-1.5
[2018-09-11 14:54:46.809] ,-4.15,-25.02,886.35,-1.11,-1.3,0.44,-1377.3,160.34,-159.1,0.75,-0.01,0.01,-0.66,-96.69,-0.12,-1.49
[2018-09-11 14:54:47.350] ,2.69,-17.33,890.26,-1.13,-1.41,0.33,-1366.35,149.39,-170.05,0.75,-0.01,0.01,-0.66,-96.7,-0.11,-1.48
[2018-09-11 14:54:47.890] ,-22.22,-21.36,889.16,-1.09,-1.34,0.47,-1375.84,163.26,-163.48,0.75,-0.01,0.01,-0.66,-96.63,0.12,-1.55
[2018-09-11 14:54:48.433] ,16.48,-11.96,898.07,-1.08,-1.38,0.56,-1366.35,172.02,-167.13,0.75,-0.01,0.01,-0.66,-96.67,-0.06,-1.48
[2018-09-11 14:54:48.975] ,3.17,-14.4,884.52,-1.12,-1.34,0.5,-1375.84,165.45,-162.75,0.75,-0.01,0.01,-0.66,-96.62,-0.08,-1.47
[2018-09-11 14:54:49.516] ,-2.81,-15.01,900.27,-1.06,-1.34,0.46,-1359.78,161.8,-163.48,0.75,-0.01,0.01,-0.66,-96.65,-0.01,-1.52
[2018-09-11 14:54:50.065] ,3.17,-18.55,888.31,-1.17,-1.2,0.55,-1364.16,170.56,-149.61,0.75,-0.01,0.01,-0.66,-96.63,-0.01,-1.53
[2018-09-11 14:54:50.610] ,-7.45,-17.33,891.11,-1.16,-1.34,0.58,-1354.67,173.48,-163.48,0.75,-0.01,0.01,-0.66,-96.65,-0.13,-1.43
[2018-09-11 14:54:51.159] ,11.35,-13.55,883.18,-1.14,-1.43,0.44,-1361.24,160.34,-171.51,0.75,-0.01,0.01,-0.66,-96.66,-0.22,-1.44
[2018-09-11 14:54:51.699] ,-23.93,-24.9,889.28,-1.23,-1.37,0.55,-1356.86,170.56,-166.4,0.75,-0.01,0.01,-0.66,-96.62,0.03,-1.5
[2018-09-11 14:54:52.244] ,14.28,-12.7,890.75,-1.16,-1.48,0.59,-1364.89,174.21,-176.62,0.75,-0.01,0.01,-0.66,-96.6,-0.19,-1.4
[2018-09-11 14:54:52.784] ,-1.22,-16.97,882.08,-1.15,-1.35,0.53,-1368.54,169.1,-164.21,0.75,-0.01,0.01,-0.66,-96.59,-0.03,-1.54
[2018-09-11 14:54:53.336] ,-2.56,-19.9,891.24,-1.19,-1.37,0.44,-1356.13,160.34,-166.4,0.75,-0.01,0.01,-0.66,-96.61,-0.11,-1.48
[2018-09-11 14:54:53.878] ,-10.62,-20.26,893.07,-0.97,-1.24,0.63,-1355.4,178.59,-153.99,0.75,-0.01,0.01,-0.66,-96.61,-0.26,-1.48
[2018-09-11 14:54:54.427] ,-2.56,-18.07,895.51,-1.11,-1.3,0.53,-1364.89,169.1,-159.83,0.75,-0.01,0.01,-0.66,-96.57,-0.06,-1.46
[2018-09-11 14:54:54.971] ,-4.39,-17.58,884.89,-1.26,-1.34,0.38,-1365.62,154.5,-163.48,0.75,-0.01,0.01,-0.66,-96.63,-0.1,-1.47
[2018-09-11 14:54:55.520] ,-3.42,-26.12,888.31,-1.17,-1.23,0.44,-1362.7,160.34,-152.53,0.75,-0.01,0.01,-0.66,-96.62,-0.11,-1.49
[2018-09-11 14:54:56.066] ,-5.86,-22.46,883.91,-1.14,-1.31,0.63,-1359.05,178.59,-160.56,0.75,-0.01,0.01,-0.66,-96.57,-0.12,-1.47
[2018-09-11 14:54:56.610] ,-8.42,-22.22,887.21,-1.12,-1.32,0.55,-1369.27,170.56,-161.29,0.75,-0.01,0.01,-0.66,-96.57,-0.1,-1.47
[2018-09-11 14:54:57.157] ,6.59,-20.26,887.57,-1.05,-1.23,0.41,-1362.7,157.42,-152.53,0.75,-0.01,0.01,-0.66,-96.56,-0.11,-1.46
[2018-09-11 14:54:57.692] ,-11.6,-16.36,884.4,-1.13,-1.46,0.46,-1353.21,161.8,-175.16,0.75,-0.01,0.01,-0.66,-96.58,-0.12,-1.43
[2018-09-11 14:54:58.239] ,-11.23,-24.66,884.28,-1.09,-1.4,0.52,-1361.24,167.64,-169.32,0.75,-0.01,0.01,-0.66,-96.58,-0.09,-1.5
[2018-09-11 14:54:58.790] ,13.67,-14.65,883.54,-1.15,-1.21,0.53,-1370.73,169.1,-151.07,0.75,-0.01,0.01,-0.66,-96.57,-0.07,-1.5
[2018-09-11 14:54:59.329] ,-8.54,-17.94,875.98,-1.18,-1.43,0.58,-1365.62,173.48,-172.24,0.75,-0.01,0.01,-0.66,-96.58,0.03,-1.46
[2018-09-11 14:54:59.875] ,4.52,-14.89,888.06,-1.14,-1.21,0.53,-1362.7,168.37,-150.34,0.75,-0.01,0.01,-0.66,-96.56,-0.2,-1.39
[2018-09-11 14:55:00.420] ,-1.34,-21.85,891.11,-1.06,-1.19,0.61,-1365.62,176.4,-148.88,0.75,-0.01,0.01,-0.66,-96.59,-0.2,-1.45
[2018-09-11 14:55:00.963] ,-4.03,-20.26,890.75,-1.21,-1.32,0.51,-1357.59,166.91,-161.29,0.75,-0.01,0.01,-0.66,-96.62,-0.1,-1.46
[2018-09-11 14:55:01.513] ,-11.72,-23.93,890.14,-1.1,-1.5,0.5,-1365.62,165.45,-178.08,0.75,-0.01,0.01,-0.66,-96.61,-0.14,-1.49
[2018-09-11 14:55:02.053] ,0.37,-21.48,891.48,-1.14,-1.3,0.56,-1361.97,172.02,-159.1,0.75,-0.01,0.01,-0.66,-96.57,-0.08,-1.49
[2018-09-11 14:55:02.594] ,-11.84,-18.8,888.43,-1.19,-1.39,0.6,-1363.43,175.67,-167.86,0.75,-0.01,0.01,-0.66,-96.6,-0.07,-1.43
[2018-09-11 14:55:03.139] ,-7.32,-23.8,886.35,-1.06,-1.36,0.6,-1365.62,175.67,-164.94,0.75,-0.01,0.01,-0.66,-96.62,-0.1,-1.48
[2018-09-11 14:55:03.687] ,-2.81,-19.41,885.86,-1.11,-1.19,0.6,-1366.35,174.94,-148.88,0.75,-0.01,0.01,-0.66,-96.58,-0.11,-1.46
[2018-09-11 14:55:04.234] ,2.44,-17.09,881.35,-1.12,-1.34,0.55,-1360.51,170.56,-163.48,0.75,-0.01,0.01,-0.66,-96.57,-0.22,-1.43
[2018-09-11 14:55:04.778] ,-1.22,-17.58,891.97,-1.02,-1.32,0.49,-1356.13,164.72,-161.29,0.75,-0.01,0.01,-0.66,-96.61,-0.16,-1.44
[2018-09-11 14:55:05.326] ,-5.37,-23.07,888.31,-1.07,-1.43,0.47,-1358.32,162.53,-171.51,0.75,-0.01,0.01,-0.66,-96.62,0.01,-1.48
[2018-09-11 14:55:05.867] ,-2.56,-20.51,884.4,-1.03,-1.17,0.53,-1367.08,169.1,-147.42,0.75,-0.01,0.01,-0.66,-96.62,0.01,-1.48
[2018-09-11 14:55:06.407] ,-1.22,-22.22,884.77,-1.07,-1.37,0.48,-1367.08,163.99,-166.4,0.75,-0.01,0.01,-0.66,-96.63,-0.06,-1.49
[2018-09-11 14:55:06.949] ,-0.85,-16.36,891.24,-1.11,-1.47,0.54,-1361.97,169.83,-175.89,0.75,-0.01,0.01,-0.66,-96.57,-0.17,-1.49
[2018-09-11 14:55:07.493] ,-2.44,-19.78,889.53,-1.13,-1.5,0.53,-1363.43,169.1,-178.08,0.75,-0.01,0.01,-0.66,-96.57,-0.1,-1.49
[2018-09-11 14:55:08.043] ,0.49,-15.01,888.18,-1.12,-1.24,0.57,-1369.27,172.75,-153.26,0.75,-0.01,0.01,-0.66,-96.59,-0.12,-1.48
[2018-09-11 14:55:08.588] ,-7.81,-25.51,886.35,-1.2,-1.2,0.54,-1360.51,169.83,-149.61,0.75,-0.01,0.01,-0.66,-96.63,-0.08,-1.47
[2018-09-11 14:55:09.131] ,1.59,-20.26,889.77,-0.98,-1.27,0.56,-1364.89,171.29,-156.18,0.75,-0.01,0.01,-0.66,-96.67,-0.11,-1.52
[2018-09-11 14:55:09.671] ,1.22,-12.82,885.99,-1.08,-1.31,0.44,-1373.65,160.34,-160.56,0.75,-0.01,0.01,-0.66,-96.56,-0.01,-1.45
[2018-09-11 14:55:10.212] ,-4.64,-16.6,885.62,-0.99,-1.34,0.51,-1358.32,166.91,-162.75,0.75,-0.01,0.01,-0.66,-96.57,-0.01,-1.51
[2018-09-11 14:55:10.757] ,-7.93,-18.43,891.24,-1.05,-1.57,0.54,-1367.08,169.83,-185.38,0.75,-0.01,0.01,-0.66,-96.64,-0.11,-1.46
[2018-09-11 14:55:11.306] ,5.25,-20.51,885.13,-1.15,-1.42,0.47,-1369.27,163.26,-170.78,0.75,-0.01,0.01,-0.66,-96.63,-0.15,-1.46
[2018-09-11 14:55:11.852] ,-2.56,-23.19,882.2,-1.08,-1.37,0.53,-1359.05,168.37,-165.67,0.75,-0.01,0.01,-0.66,-96.65,-0.09,-1.49
[2018-09-11 14:55:12.400] ,4.03,-19.41,879.52,-1.01,-1.24,0.65,-1364.89,180.05,-153.99,0.75,-0.01,0.01,-0.66,-96.62,-0.09,-1.52
[2018-09-11 14:55:12.936] ,0.85,-21.48,884.64,-1.1,-1.56,0.42,-1365.62,158.15,-184.65,0.75,-0.01,0.01,-0.66,-96.6,-0.03,-1.51
[2018-09-11 14:55:13.477] ,-16.48,-22.95,884.4,-1.08,-1.37,0.52,-1368.54,167.64,-166.4,0.75,-0.01,0.01,-0.66,-96.62,-0.01,-1.53
[2018-09-11 14:55:14.025] ,-5.37,-18.07,888.31,-1.2,-1.44,0.45,-1359.78,161.07,-172.97,0.75,-0.01,0.01,-0.66,-96.64,-0.01,-1.49
[2018-09-11 14:55:14.574] ,-3.66,-20.39,887.82,-1.11,-1.33,0.51,-1370.73,166.91,-162.02,0.75,-0.01,0.01,-0.66,-96.62,-0.15,-1.47
[2018-09-11 14:55:15.119] ,4.27,-14.65,891.36,-1.18,-1.36,0.55,-1367.81,170.56,-164.94,0.75,-0.01,0.01,-0.66,-96.58,-0.08,-1.45
[2018-09-11 14:55:15.659] ,-3.05,-23.93,885.5,-1.08,-1.52,0.56,-1370,172.02,-180.27,0.75,-0.01,0.01,-0.66,-96.58,-0.02,-1.51
[2018-09-11 14:55:16.200] ,-6.84,-22.71,889.28,-1.17,-1.18,0.47,-1346.64,163.26,-148.15,0.75,-0.01,0.01,-0.66,-96.53,-0.02,-1.46
[2018-09-11 14:55:16.749] ,-0.37,-15.26,888.31,-1.02,-1.43,0.55,-1360.51,170.56,-171.51,0.75,-0.01,0.01,-0.66,-96.6,-0.24,-1.45
[2018-09-11 14:55:17.294] ,-2.2,-16.36,892.33,-1.11,-1.43,0.55,-1368.54,170.56,-172.24,0.75,-0.01,0.01,-0.66,-96.6,-0.16,-1.46
[2018-09-11 14:55:17.835] ,-2.81,-19.29,895.51,-1.04,-1.24,0.56,-1356.13,172.02,-153.26,0.75,-0.01,0.01,-0.66,-96.56,-0.05,-1.47
[2018-09-11 14:55:18.375] ,5.62,-13.18,890.63,-1.21,-1.53,0.47,-1360.51,163.26,-181,0.75,-0.01,0.01,-0.66,-96.57,-0.05,-1.43
[2018-09-11 14:55:18.917] ,-18.55,-25.76,882.08,-1.24,0.69,0.47,-1347.37,163.26,31.43,0.75,-0.01,0.01,-0.66,-96.6,0.32,-1.53
[2018-09-11 14:55:19.457] ,-33.45,-26,881.1,-1.85,4.62,0.02,-1361.24,119.46,406.65,0.75,0,0.02,-0.66,-96.77,1.41,-1.57
[2018-09-11 14:55:19.994] ,-61.52,-20.87,890.63,-1.1,1.75,0.66,-1363.43,181.51,132.9,0.75,0.01,0.03,-0.66,-97.02,3.16,-1.6
[2018-09-11 14:55:20.538] ,-67.38,-20.51,882.81,-1.14,-0.39,0.55,-1359.78,170.56,-72.23,0.75,0.01,0.03,-0.66,-96.62,3.81,-1.64
[2018-09-11 14:55:21.083] ,-83.98,-26.12,888.92,-0.86,-0.4,0.63,-1350.29,177.86,-73.69,0.75,0.02,0.04,-0.66,-96.27,4.55,-1.61
[2018-09-11 14:55:21.620] ,-107.79,-26.61,879.27,-1.08,2.85,0.72,-1352.48,187.35,238.02,0.75,0.02,0.05,-0.66,-96.51,5.77,-1.7
[2018-09-11 14:55:22.165] ,-107.79,-20.39,876.95,-1.25,-0.92,0.68,-1334.96,182.97,-122.6,0.75,0.03,0.05,-0.66,-96.06,6.98,-1.48
[2018-09-11 14:55:22.708] ,-130.13,-27.22,882.08,-1.3,-0.53,0.58,-1345.91,173.48,-85.37,0.75,0.03,0.06,-0.66,-96.17,7.82,-1.53
[2018-09-11 14:55:23.254] ,-143.31,-18.68,877.81,-0.95,-0.55,0.63,-1355.4,177.86,-87.56,0.75,0.04,0.07,-0.66,-96.35,8.86,-1.57
[2018-09-11 14:55:23.802] ,-139.77,-19.29,877.2,-1.1,-0.6,0.53,-1355.4,168.37,-91.94,0.75,0.04,0.07,-0.65,-96.03,9.15,-1.5
[2018-09-11 14:55:24.348] ,-154.91,-21.48,880.37,-1.1,-0.69,0.41,-1353.94,157.42,-101.43,0.75,0.05,0.07,-0.66,-96.17,9.95,-1.4
[2018-09-11 14:55:24.891] ,-184.94,-31.49,868.16,-1.17,0.17,0.71,-1355.4,185.89,-18.94,0.75,0.05,0.08,-0.66,-96.25,10.97,-1.49
[2018-09-11 14:55:25.438] ,-178.47,-21.48,866.58,-1.36,0.47,0.53,-1342.26,168.37,9.53,0.75,0.06,0.09,-0.66,-96.43,11.68,-1.51
[2018-09-11 14:55:25.982] ,-198.24,-21.12,864.5,-1.21,-1.29,0.53,-1341.53,169.1,-158.37,0.75,0.06,0.09,-0.65,-96.23,12.59,-1.4
[2018-09-11 14:55:26.526] ,-215.21,-20.63,870.48,-1.15,-1.4,0.45,-1349.56,161.07,-168.59,0.75,0.07,0.09,-0.65,-95.92,13.11,-1.42
[2018-09-11 14:55:27.076] ,-215.33,-16.24,858.28,-1.08,0.56,0.47,-1346.64,162.53,18.29,0.75,0.07,0.1,-0.65,-96.22,13.74,-1.42
[2018-09-11 14:55:27.619] ,-223.75,-15.14,868.16,-1.01,-0.42,0.44,-1346.64,160.34,-75.15,0.75,0.07,0.1,-0.65,-96.45,14.65,-1.42
[2018-09-11 14:55:28.169] ,-235.84,-17.21,860.84,-1.11,-1.68,0.41,-1343.72,157.42,-195.6,0.75,0.08,0.11,-0.65,-96.17,15.25,-1.43
[2018-09-11 14:55:28.713] ,-257.57,-15.75,852.42,-1.14,-1.3,0.48,-1338.61,163.99,-159.1,0.74,0.09,0.12,-0.65,-96.5,16.45,-1.44
[2018-09-11 14:55:29.261] ,-262.08,-16.36,848.63,-1.2,0.72,0.82,-1348.83,196.84,33.62,0.74,0.09,0.12,-0.65,-96.76,17.32,-1.36
[2018-09-11 14:55:29.802] ,-278.56,-14.16,841.8,-1.16,0.14,0.43,-1339.34,159.61,-21.86,0.74,0.1,0.13,-0.65,-96.95,18.37,-1.37
[2018-09-11 14:55:30.353] ,-287.72,-21.12,837.89,-1.17,-1.33,0.6,-1344.45,175.67,-162.02,0.74,0.1,0.13,-0.65,-96.27,18.91,-1.47
[2018-09-11 14:55:30.897] ,-304.2,-12.08,835.69,-1.17,0.4,0.61,-1347.37,176.4,2.96,0.74,0.1,0.13,-0.65,-96.58,19.53,-1.29
[2018-09-11 14:55:31.441] ,-321.29,-18.8,826.78,-0.98,-0.34,0.6,-1348.83,174.94,-67.85,0.74,0.11,0.14,-0.65,-96.28,20.57,-1.31
[2018-09-11 14:55:31.987] ,-320.92,-14.89,826.9,-1.13,-1.45,0.54,-1337.15,169.83,-173.7,0.74,0.11,0.15,-0.64,-96.06,21.18,-1.36
[2018-09-11 14:55:32.531] ,-340.45,-13.06,821.04,-0.95,-1.56,0.49,-1348.1,164.72,-183.92,0.74,0.12,0.15,-0.65,-96.18,21.63,-1.29
[2018-09-11 14:55:33.079] ,-355.22,-21.48,823.85,-1.14,-0.98,0.58,-1345.91,173.48,-129.17,0.74,0.12,0.15,-0.64,-96.08,22.37,-1.3
[2018-09-11 14:55:33.624] ,-359.62,-18.31,822.02,-0.83,-1.25,0.59,-1348.83,174.21,-154.72,0.74,0.12,0.16,-0.65,-96.6,23.08,-1.3
[2018-09-11 14:55:34.173] ,-355.71,-9.28,805.05,-0.98,2.29,0.52,-1349.56,167.64,184,0.74,0.13,0.16,-0.65,-96.56,23.6,-1.3
[2018-09-11 14:55:34.714] ,-376.83,-15.38,808.35,-0.85,-1.33,0.61,-1327.66,176.4,-162.02,0.73,0.13,0.17,-0.65,-97.28,24.72,-1.36
[2018-09-11 14:55:35.263] ,-382.45,-15.63,807.5,-1.21,0.06,0.6,-1343.72,175.67,-29.16,0.73,0.14,0.17,-0.65,-97.16,25.43,-1.33
[2018-09-11 14:55:35.807] ,-401.25,-20.51,796.88,-0.98,-0.43,0.53,-1343.72,168.37,-76.61,0.73,0.14,0.18,-0.64,-96.91,26.6,-1.43
[2018-09-11 14:55:36.352] ,-409.06,-19.17,786.38,-1.08,0.52,0.53,-1342.99,169.1,14.64,0.73,0.15,0.18,-0.64,-96.18,27.04,-1.38
[2018-09-11 14:55:36.896] ,-434.69,-15.38,785.64,-1.15,2.17,0.54,-1334.23,169.83,172.32,0.73,0.15,0.19,-0.64,-96.99,27.92,-1.44
[2018-09-11 14:55:37.438] ,-435.06,-21.48,775.51,-1.05,-0.82,0.67,-1339.34,182.24,-113.11,0.72,0.16,0.2,-0.64,-97.23,28.94,-1.52
[2018-09-11 14:55:37.986] ,-466.31,-23.93,782.35,-2.27,7.06,2.27,-1339.34,335.54,640.98,0.71,0.17,0.2,-0.65,-98.87,30.11,-1.55
[2018-09-11 14:55:38.526] ,-476.93,-21.12,756.1,-1.02,-1.39,0.6,-1339.34,174.94,-167.86,0.72,0.17,0.21,-0.64,-97.81,31.59,-1.63
[2018-09-11 14:55:39.076] ,-493.9,-17.58,749.02,-1.07,-0.13,0.59,-1326.2,174.21,-47.41,0.71,0.18,0.22,-0.64,-98,32.68,-1.63
[2018-09-11 14:55:39.620] ,-495.48,-12.08,738.4,-1.17,-2.19,0.34,-1332.04,150.12,-244.51,0.71,0.19,0.22,-0.65,-99.23,33.95,-1.64
[2018-09-11 14:55:40.167] ,-512.45,-19.41,731.08,-1.21,3.21,0.73,-1332.04,188.08,272.33,0.71,0.19,0.23,-0.64,-98.28,34.75,-1.64
[2018-09-11 14:55:40.705] ,-537.35,-19.17,716.19,-1.35,-1.13,0.2,-1339.34,136.98,-143.04,0.71,0.2,0.24,-0.64,-98.27,36.06,-1.6
[2018-09-11 14:55:41.252] ,-546.75,-13.55,715.7,-1.05,0.18,0.58,-1329.85,173.48,-17.48,0.7,0.21,0.24,-0.64,-98.92,37.19,-1.55
[2018-09-11 14:55:41.796] ,-588.38,-16.6,711.06,-0.98,2.55,0.46,-1341.53,161.8,208.82,0.69,0.22,0.25,-0.64,-99.93,38.77,-1.63
[2018-09-11 14:55:42.341] ,-597.53,-21.24,696.17,-0.95,0.69,0.5,-1334.23,166.18,31.43,0.7,0.22,0.26,-0.63,-97.73,39.61,-1.66
[2018-09-11 14:55:42.882] ,-604.25,-24.9,675.54,-1.08,1,0.69,-1321.09,184.43,60.63,0.69,0.23,0.26,-0.63,-99.56,40.7,-1.72
[2018-09-11 14:55:43.426] ,-602.42,-14.77,671.75,-1.08,-0.77,0.58,-1340.07,173.48,-108.73,0.71,0.22,0.27,-0.61,-96.45,41.18,-1.6
[2018-09-11 14:55:43.970] ,-626.22,-22.83,677.12,-0.66,0.08,0.27,-1329.12,144.28,-26.97,0.7,0.23,0.27,-0.62,-97.62,41.63,-1.52
[2018-09-11 14:55:44.516] ,-616.09,-20.02,667.72,-1.2,-1.27,0.33,-1325.47,149.39,-156.91,0.7,0.23,0.28,-0.62,-97.22,42.53,-1.58
[2018-09-11 14:55:45.059] ,-610.72,-19.65,663.57,-1.14,-2.19,0.16,-1326.93,133.33,-244.51,0.72,0.22,0.28,-0.6,-94.3,42.36,-1.69
[2018-09-11 14:55:45.610] ,-594.36,-10.99,674.19,-1.16,-2.87,0.37,-1324.01,153.77,-309.48,0.73,0.21,0.28,-0.58,-91.57,41.59,-1.69
[2018-09-11 14:55:46.155] ,-559.69,-21.73,698,-1.43,-4.04,0.22,-1326.93,139.17,-421.17,0.77,0.18,0.28,-0.55,-85.96,38.65,-1.98
[2018-09-11 14:55:46.699] ,-563.6,-26.86,712.04,-1.17,-4.53,0.22,-1327.66,139.17,-468.62,0.76,0.18,0.27,-0.56,-87.27,37.28,-1.83
[2018-09-11 14:55:47.247] ,-546.75,-28.08,718.87,-1.11,-0.5,0.6,-1326.93,175.67,-83.18,0.75,0.18,0.26,-0.58,-90.34,36.54,-1.99
[2018-09-11 14:55:47.792] ,-515.26,-17.58,738.77,-1,-3.28,0.56,-1307.22,171.29,-348.9,0.75,0.18,0.25,-0.59,-90.95,35.41,-1.84
[2018-09-11 14:55:48.336] ,-515.5,-18.07,739.99,-1.09,-4.16,0.43,-1329.12,158.88,-432.85,0.75,0.18,0.24,-0.6,-91.7,34.88,-1.94
[2018-09-11 14:55:48.882] ,-513.67,-26.61,747.92,-1.01,-1.44,0.51,-1325.47,166.91,-172.97,0.76,0.16,0.24,-0.59,-90.18,33.38,-1.97
[2018-09-11 14:55:49.426] ,-486.69,-20.63,777.47,-0.37,-2.79,0.16,-1319.63,133.33,-302.18,0.77,0.15,0.23,-0.58,-88.96,31.42,-2.06
[2018-09-11 14:55:49.975] ,-469.6,-28.81,763.18,-1,-4.26,0.19,-1324.74,136.25,-442.34,0.76,0.15,0.22,-0.6,-91.18,30.94,-2.07
[2018-09-11 14:55:50.520] ,-459.35,-31.62,776,-1.13,-2.3,0.41,-1321.82,157.42,-254.73,0.76,0.15,0.21,-0.6,-91.54,29.51,-2.01
[2018-09-11 14:55:51.065] ,-432.62,-25.88,775.76,-1.01,-2.56,0.56,-1316.71,171.29,-279.55,0.75,0.14,0.2,-0.61,-92,28.63,-2.05
[2018-09-11 14:55:51.609] ,-395.02,-16.48,792.85,-1.03,-2.77,0.47,-1316.71,163.26,-299.99,0.76,0.13,0.19,-0.6,-90.93,26.91,-2.01
[2018-09-11 14:55:52.158] ,-386.96,-28.56,799.56,-1.11,-4.07,0.38,-1329.85,154.5,-424.82,0.76,0.13,0.18,-0.61,-91.35,25.74,-2.12
[2018-09-11 14:55:52.703] ,-357.67,-27.1,804.81,-1.17,-4.08,0.53,-1326.2,168.37,-425.55,0.76,0.12,0.18,-0.61,-91.34,24.29,-2.18
[2018-09-11 14:55:53.249] ,-343.02,-30.15,821.41,-1.07,-3.35,0.47,-1321.82,163.26,-355.47,0.77,0.11,0.17,-0.61,-91.26,22.66,-2.21
[2018-09-11 14:55:53.796] ,-308.35,-20.39,836.3,-1.22,-3.86,0.25,-1313.06,142.09,-404.38,0.77,0.1,0.15,-0.61,-91.28,20.72,-2.16
[2018-09-11 14:55:54.345] ,-290.04,-26.49,848.27,-1.21,-4.66,0.37,-1313.06,153.77,-481.03,0.77,0.09,0.14,-0.62,-91.35,18.9,-2.24
[2018-09-11 14:55:54.890] ,-272.22,-38.21,837.77,-1.34,-2.3,0.34,-1318.9,150.12,-255.46,0.77,0.08,0.13,-0.62,-92.04,17.25,-2.23
[2018-09-11 14:55:55.435] ,-238.77,-26.37,854,-1.24,-4.91,0.17,-1319.63,134.06,-504.39,0.77,0.07,0.12,-0.62,-92.18,15.45,-2.25
[2018-09-11 14:55:55.981] ,-223.39,-33.57,864.38,-1.41,-4.4,0.54,-1316.71,169.83,-456.21,0.77,0.06,0.1,-0.63,-92.31,13.5,-2.25
[2018-09-11 14:55:56.528] ,-189.21,-35.16,874.76,-1.17,-2.28,0.41,-1305.76,157.42,-253.27,0.77,0.04,0.08,-0.63,-92.56,10.62,-2.27
[2018-09-11 14:55:57.073] ,-136.96,-34.18,880.62,-1.01,-3.81,0.5,-1308.68,166.18,-400,0.76,0.04,0.07,-0.64,-94,9.38,-2.18
[2018-09-11 14:55:57.621] ,-131.23,-30.52,885.25,-1.1,-3.14,0.48,-1313.06,163.99,-335.03,0.76,0.03,0.07,-0.64,-94.38,8.08,-2.15
