[2018-09-11 14:54:26.285] 603,ax,ay,az,gx,gy,gz,mx,my,mz,q0,q1,q2,q3,yaw,pitch,roll
[2018-09-11 14:57:24.910] ,8.3,32.35,888.55,0.95,0.31,1.04,-1294.08,217.28,-5.8,0.77,-0.03,-0.01,-0.64,-92.85,-2.6,-2.1
[2018-09-11 14:57:25.449] ,48.71,-2.93,890.01,0.32,0.37,-0.62,-1288.24,58.87,0.04,0.77,-0.02,-0.01,-0.64,-93.43,-2.27,-1.45
[2018-09-11 14:57:25.987] ,-4.39,-19.53,891.48,-0.37,-1.93,0.85,-1279.48,199.76,-219.69,0.74,-0.02,0,-0.67,-97.88,-1.56,-1.04
[2018-09-11 14:57:26.534] ,-6.35,27.71,885.62,-0.15,-2.91,1.09,-1292.62,222.39,-313.13,0.76,-0.01,-0.01,-0.66,-95.72,-1.36,0.07
[2018-09-11 14:57:27.079] ,-37.11,-51.39,891.11,-1.65,0.19,6.9,-1291.16,777.92,-16.75,0.85,-0.01,0.01,-0.52,-77.05,0.39,-1.21
[2018-09-11 14:57:27.620] ,-13.67,-42.72,892.58,-1.79,0.15,5.29,-1288.97,623.89,-20.4,0.86,-0.01,0.01,-0.5,-74.16,0.61,-1.75
[2018-09-11 14:57:28.159] ,-33.69,-23.68,886.84,-1.53,2.07,0.46,-1302.84,161.8,162.83,0.8,-0.01,0.01,-0.6,-87.91,0.81,-1.63
[2018-09-11 14:57:28.709] ,-28.44,-21.97,887.45,-0.98,-1,0.63,-1288.97,178.59,-130.63,0.76,0,0.02,-0.64,-94.15,1.38,-1.2
[2018-09-11 14:57:29.250] ,-5.13,-31.86,896.48,-0.93,-2.14,0.99,-1297.73,212.9,-240.13,0.75,0,0.02,-0.66,-96.19,1.28,-1.51
[2018-09-11 14:57:29.790] ,-20.87,-70.19,874.88,-0.01,-2.88,-3.89,-1286.78,-254.3,-310.21,0.69,0,0.02,-0.73,-107.06,1.12,-1.44
[2018-09-11 14:57:30.335] ,-7.57,-53.96,897.58,-2.14,-1.06,-3.24,-1291.89,-192.25,-136.47,0.67,-0.01,0.01,-0.74,-109.89,-0.54,-1.29
